Name,Class,Role,Tier,Win %,Role %,Pick %,Ban %,KDA
Rammus,Tank,JUNGLE,2,52.04,88.71,2.81,6.66,3.18
Rek'Sai,Fighter,JUNGLE,5,48.29,95.35,1.46,0.62,2.37
Rell,Tank,SUPPORT,2,53.32,98.28,1.86,0.41,2.49
Renata Glasc,Support,SUPPORT,3,50.31,98.81,2.73,1.21,2.68
Renekton,Fighter,TOP,2,48.72,86.17,4.71,2.51,1.79
Renekton,Fighter,,3,49.58,12.45,0.70,2.51,2.06
Rengar,Assassin,JUNGLE,4,47.74,74.58,4.05,7.09,
Rengar,Assassin,TOP,4,49.06,22.13,1.36,7.09,1.95
Riven,Fighter,TOP,2,49.19,91.15,3.92,1.23,1.87
Rumble,Fighter,MID,2,51.56,41.90,1.07,0.48,2.61
Rumble,Fighter,TOP,4,48.41,45.74,1.08,0.48,2.13
Ryze,Mage,MID,3,48.18,84.60,3.35,1.11,
Ryze,Mage,TOP,4,50.55,13.25,0.51,1.11,2.05
Samira,Marksman,ADC,0,52.16,98.08,11.25,30.07,2.34
Sejuani,Tank,JUNGLE,1,50.87,85.70,4.97,1.29,3.23
Sejuani,Tank,TOP,3,50.53,10.83,0.65,1.29,2.42
Senna,Marksman,SUPPORT,2,48.82,92.18,4.59,1.20,2.49
Seraphine,Mage,SUPPORT,2,49.01,70.56,4.32,1.23,2.48
Seraphine,Mage,,4,52.85,20.45,0.95,1.23,2.93
Sett,Fighter,TOP,1,50.42,84.12,7.42,4.33,1.74
Shaco,Assassin,JUNGLE,1,48.82,79.14,5.69,14.87,2.7
Shaco,Assassin,SUPPORT,4,49.60,14.19,1.00,14.87,2.34
Shen,Tank,TOP,1,52.14,87.34,4.23,0.95,3.02
Shyvana,Fighter,TOP,4,50.55,12.83,0.22,0.33,2.04
Shyvana,Fighter,JUNGLE,5,49.28,80.23,1.37,0.28,2.47
Singed,,MID,2,54.08,15.22,0.37,0.50,2.88
Singed,Tank,TOP,2,52.01,72.80,1.79,0.57,2.04
Sion,Tank,TOP,1,51.64,84.73,5.19,1.18,1.82
Sivir,Marksman,ADC,3,50.71,98.15,5.95,0.83,2.48
Skarner,Fighter,TOP,4,48.64,20.27,0.18,0.14,2.2
Skarner,Fighter,JUNGLE,4,51.63,75.85,0.70,0.14,2.69
Sona,Support,SUPPORT,1,52.60,97.50,3.81,0.31,3.02
Soraka,Support,SUPPORT,1,50.93,96.15,5.05,1.95,2.75
Swain,Mage,MID,2,52.72,31.00,1.67,3.50,2.77
Swain,Mage,SUPPORT,2,51.31,54.86,3.58,3.50,2.42
Sylas,Mage,JUNGLE,0,49.44,50.89,8.14,19.85,2.47
Sylas,Mage,MID,2,50.04,42.25,6.86,19.85,2.2
Syndra,Mage,MID,2,49.32,92.19,5.30,2.67,2.29
Tahm Kench,Support,TOP,3,49.89,69.30,1.71,0.70,2.41
Tahm Kench,,SUPPORT,5,48.29,22.81,0.52,0.76,2.25
Taliyah,Mage,MID,3,51.03,50.26,1.24,0.52,2.37
Taliyah,Mage,JUNGLE,5,48.59,37.06,0.89,0.52,2.51
Talon,Assassin,MID,3,49.43,72.29,3.08,1.09,2.21
Talon,Assassin,JUNGLE,5,46.46,23.74,1.01,1.09,
Taric,Support,SUPPORT,3,50.68,87.48,1.54,0.32,2.73
Teemo,Marksman,TOP,2,49.51,74.41,3.90,6.08,1.72
Thresh,Support,SUPPORT,1,,98.04,9.25,2.13,2.56
Tristana,Marksman,ADC,2,51.22,71.96,7.93,4.24,2.35
Tristana,Marksman,MID,2,52.18,23.42,2.36,4.24,2.17
Trundle,Fighter,JUNGLE,4,49.31,72.70,1.51,0.82,2.61
Trundle,Fighter,TOP,5,47.65,21.22,0.44,0.84,1.6
Tryndamere,Fighter,MID,2,52.12,14.70,0.43,2.39,
Tryndamere,Fighter,TOP,3,50.16,77.49,2.43,2.39,1.8
Twisted Fate,Mage,MID,3,48.51,89.88,2.10,0.16,2.4
Twitch,Marksman,ADC,3,51.71,51.65,5.32,13.61,2.43
Twitch,Marksman,SUPPORT,3,49.13,37.08,3.47,13.61,2.09
Udyr,Fighter,,1,52.12,84.32,5.35,16.55,2.63
Udyr,Fighter,TOP,4,50.86,13.56,,16.55,1.89
Urgot,Fighter,TOP,3,49.98,92.70,2.85,1.14,1.92
Varus,Marksman,ADC,1,49.61,89.36,10.75,3.39,2.39
Vayne,Marksman,TOP,4,49.65,18.25,1.02,4.10,1.59
Vayne,Marksman,ADC,4,48.86,78.92,4.79,4.10,2.04
Veigar,Mage,MID,3,48.14,73.86,3.28,1.90,2.2
Veigar,Mage,SUPPORT,5,46.41,11.58,0.56,2.29,1.91
Veigar,Mage,ADC,5,49.36,12.62,0.52,2.09,2.25
Vel'Koz,Mage,MID,3,49.84,30.26,0.86,0.51,2.61
Vel'Koz,Mage,SUPPORT,3,52.65,,1.97,0.48,2.28
Vex,Mage,MID,2,50.56,92.00,3.60,4.37,2.42
Vi,Fighter,JUNGLE,1,51.47,95.69,6.96,2.55,
Viego,Assassin,JUNGLE,2,48.41,91.72,5.79,2.06,2.37
Viktor,Mage,MID,2,50.53,95.08,5.14,2.44,2.32
Vladimir,Mage,MID,2,49.88,73.45,3.14,,2.43
Vladimir,Mage,TOP,4,48.60,24.57,1.00,3.99,2.11
Volibear,Fighter,TOP,4,48.03,52.24,1.75,1.01,1.77
Volibear,,JUNGLE,4,50.53,43.32,1.69,1.01,2.57
Warwick,,JUNGLE,2,49.98,61.53,4.37,6.55,2.12
Warwick,Fighter,TOP,3,50.46,35.67,1.92,6.55,1.77
Wukong,Fighter,JUNGLE,1,51.74,80.65,5.49,2.73,
Wukong,Fighter,TOP,3,50.38,16.22,1.15,2.73,2.07
Xayah,Marksman,ADC,1,52.45,98.71,12.27,,2.52
Xerath,Mage,SUPPORT,2,50.38,72.55,3.64,2.88,2.57
Xerath,Mage,MID,3,48.41,24.42,1.16,,3.24
Xin Zhao,Fighter,JUNGLE,4,50.16,86.54,2.11,0.26,2.25
Yasuo,Fighter,MID,2,48.36,68.13,10.06,17.38,1.72
Yasuo,Fighter,TOP,4,,19.97,2.84,17.38,1.47
Yasuo,Fighter,ADC,5,50.16,10.36,1.46,17.38,
Yone,Assassin,MID,2,49.85,60.19,7.25,9.29,1.94
Yone,Assassin,TOP,2,48.99,36.72,4.25,9.29,1.64
Yorick,Fighter,TOP,2,51.49,91.38,3.50,3.45,1.57
Yuumi,Support,SUPPORT,3,42.82,98.11,4.36,7.72,3.64
Zac,Tank,JUNGLE,1,50.51,71.58,4.66,15.10,3.36
Zac,Tank,TOP,3,50.71,14.01,0.90,15.10,2.61
Zed,Assassin,MID,1,49.45,75.57,8.83,32.82,2.29
Zed,Assassin,JUNGLE,5,46.49,18.80,2.07,32.82,2.32
Zeri,Marksman,ADC,2,50.56,95.78,7.86,2.94,2.52
Ziggs,Mage,MID,3,49.66,52.33,1.43,0.26,2.45
Ziggs,Mage,ADC,4,51.76,35.30,0.89,,2.58
Ziggs,Mage,SUPPORT,5,49.27,11.68,0.33,0.28,2.03
Zilean,Support,MID,2,50.39,12.58,0.33,1.05,3.47
Zilean,Support,SUPPORT,3,50.49,81.61,2.20,1.06,3.05
Zoe,Mage,MID,2,50.20,87.20,3.17,1.68,2.65
Zoe,Mage,SUPPORT,5,47.10,11.02,0.38,1.62,2.12
Zyra,Mage,SUPPORT,2,52.31,91.87,3.40,2.14,2.12
