org_dataset,dataset,group,scenario,xgb_score,rfc_score,knn_score
LoL_Stats,LoL_Stats_3,Wypełnienie_brakujących,Wypełnienie maksimum,0.9183673469387755,0.7346938775510204,0.6530612244897959
LoL_Stats,LoL_Stats_1,Wypełnienie_brakujących,Wypełnienie regresją,0.9387755102040817,0.7551020408163265,0.6938775510204082
LoL_Stats,LoL_Stats_2,Wypełnienie_brakujących,Wypełnienie regresją,0.9591836734693877,0.7755102040816326,0.7142857142857143
LoL_Stats,LoL_Stats_3,Wypełnienie_brakujących,Wypełnienie regresją,0.9387755102040817,0.7551020408163265,0.673469387755102
LoL_Stats,LoL_Stats_1,Standaryzacja,Standaryzacja,0.9387755102040817,0.7755102040816326,0.7551020408163265
LoL_Stats,LoL_Stats_1,Standaryzacja,Skalowanie do (0-1),0.9387755102040817,0.7755102040816326,0.6530612244897959
LoL_Stats,LoL_Stats_1,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.9111111111111111,0.6888888888888889,0.6888888888888889
LoL_Stats,LoL_Stats_2,Standaryzacja,Standaryzacja,0.9591836734693877,0.7551020408163265,0.7551020408163265
LoL_Stats,LoL_Stats_2,Standaryzacja,Skalowanie do (0-1),0.9591836734693877,0.7551020408163265,0.6938775510204082
LoL_Stats,LoL_Stats_2,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.8636363636363636,0.6590909090909091,0.6818181818181818
LoL_Stats,LoL_Stats_3,Standaryzacja,Standaryzacja,0.9591836734693877,0.7346938775510204,0.6938775510204082
LoL_Stats,LoL_Stats_3,Standaryzacja,Skalowanie do (0-1),0.9591836734693877,0.7346938775510204,0.7551020408163265
LoL_Stats,LoL_Stats_3,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.8666666666666667,0.4888888888888889,0.6444444444444445
LoL_Stats,LoL_Stats_1,Kodowanie,Kodowanie wartości kategorycznych,1.0,0.925,0.9
LoL_Stats,LoL_Stats_1,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,0.8979591836734694,0.7142857142857143
LoL_Stats,LoL_Stats_1,Custom,Custom preprocessing,1.0,0.7954545454545454,0.9545454545454546
LoL_Stats,LoL_Stats_2,Kodowanie,Kodowanie wartości kategorycznych,1.0,0.875,0.825
LoL_Stats,LoL_Stats_2,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,0.9183673469387755,0.7346938775510204
LoL_Stats,LoL_Stats_2,Custom,Custom preprocessing,1.0,0.8181818181818182,0.9318181818181818
LoL_Stats,LoL_Stats_3,Kodowanie,Kodowanie wartości kategorycznych,1.0,0.725,0.675
LoL_Stats,LoL_Stats_3,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,0.8979591836734694,0.6938775510204082
LoL_Stats,LoL_Stats_3,Custom,Custom preprocessing,1.0,0.7906976744186046,1.0
Titanic,Titanic_1,Brak,Brak przygotowania,0.7777777777777778,0.5,0.7222222222222222
Titanic,Titanic_1,Wypełnienie_brakujących,Wypełnienie średnią,0.7222222222222222,0.7444444444444445,0.7
Titanic,Titanic_1,Wypełnienie_brakujących,Wypełnienie minimum,0.7333333333333333,0.7555555555555555,0.6888888888888889
Titanic,Titanic_1,Wypełnienie_brakujących,Wypełnienie maksimum,0.7555555555555555,0.7444444444444445,0.6888888888888889
Titanic,Titanic_1,Wypełnienie_brakujących,Wypełnienie regresją,0.7111111111111111,0.7333333333333333,0.7
Titanic,Titanic_2,Brak,Brak przygotowania,0.6842105263157895,0.631578947368421,0.5789473684210527
Titanic,Titanic_2,Wypełnienie_brakujących,Wypełnienie średnią,0.7222222222222222,0.7333333333333333,0.6777777777777778
Titanic,Titanic_2,Wypełnienie_brakujących,Wypełnienie minimum,0.7222222222222222,0.7444444444444445,0.6777777777777778
Titanic,Titanic_2,Wypełnienie_brakujących,Wypełnienie maksimum,0.7777777777777778,0.7666666666666667,0.6777777777777778
Titanic,Titanic_2,Wypełnienie_brakujących,Wypełnienie regresją,0.7333333333333333,0.7333333333333333,0.6777777777777778
Titanic,Titanic_3,Brak,Brak przygotowania,0.631578947368421,0.7368421052631579,0.5789473684210527
Titanic,Titanic_3,Wypełnienie_brakujących,Wypełnienie średnią,0.7444444444444445,0.7444444444444445,0.7111111111111111
Titanic,Titanic_3,Wypełnienie_brakujących,Wypełnienie minimum,0.7444444444444445,0.7444444444444445,0.6888888888888889
Titanic,Titanic_3,Wypełnienie_brakujących,Wypełnienie maksimum,0.7222222222222222,0.7333333333333333,0.7
Titanic,Titanic_3,Wypełnienie_brakujących,Wypełnienie regresją,0.7555555555555555,0.7222222222222222,0.7
